lambda,epsilon0(PT1),epsilon1(PT1),epsilon2(PT1),epsilon0(Exact),epsilon1(Exact),epsilon2(Exact)
0,1.0000000000 ,3.0000000000 ,5.0000000000 ,1.0000000000 ,3.0000000000 ,5.0000000000 
0.01,1.0075000000 ,3.0375000000 ,5.0975000000 ,1.0073736700 ,3.0365253000 ,5.0939391300 
0.05,1.0375000000 ,3.1875000000 ,5.4875000000 ,1.0347297000 ,3.1672253700 ,5.4172614200 
0.1,1.0750000000 ,3.3750000000 ,5.9750000000 ,1.0652855100 ,3.3068720100 ,5.7479592700 
0.2,1.1500000000 ,3.7500000000 ,6.9500000000 ,1.1182926500 ,3.5390052900 ,6.2772486200 
0.3,1.2250000000 ,4.1250000000 ,7.9250000000 ,1.1640471600 ,3.7324842700 ,6.7057193800 
0.4,1.3000000000 ,4.5000000000 ,8.9000000000 ,1.2048103300 ,3.9010870500 ,7.0725987300 
0.5,1.3750000000 ,4.8750000000 ,9.8750000000 ,1.2418540600 ,4.0519323300 ,7.3969006400 
0.6,1.4500000000 ,5.2500000000 ,10.8500000000 ,1.2759835700 ,4.1892839700 ,7.6895652900 
0.8,1.6000000000 ,6.0000000000 ,12.8000000000 ,1.3375452100 ,4.4338515400 ,8.2056773900 
1,1.7500000000 ,6.7500000000 ,14.7500000000 ,1.3923516400 ,4.6488127000 ,8.6550499600 
1.5,2.1250000000 ,8.6250000000 ,19.6250000000 ,1.5094156900 ,5.1014494400 ,9.5915372700 
2,2.5000000000 ,10.5000000000 ,24.5000000000 ,1.6075413000 ,5.4757845400 ,10.3585834000 
2.5,2.8750000000 ,12.3750000000 ,29.3750000000 ,1.6931071300 ,5.7994000500 ,11.0176568000 